,sentence,score,magnitude
0,"The incredibly strange app,  Alfa VPN Free Unblock proxy lets you enter the sites limited to special regions.…",-0.6000000238418579,0.6000000238418579
1,"https://t.co/rC2NakUSaZ
RT @unbarbu2: DONT FORGET THIS FUCKING LIST!!",-0.4000000059604645,0.4000000059604645
2,"#RICKYRENUNCIO #WandaRenuncia https://t.co/fUBbGOCd0H
RT @JoshuaPotash: The exact moment the announcement of Ricky’s resignation occurred.",-0.20000000298023224,0.20000000298023224
3,Increíble.,0.800000011920929,0.800000011920929
4,Saludos a cada persona en la isla de Puert…,0.5,0.5
5,"#RickyRenunciO  #RickyRenuncio #25Jul #FelizJueves #Venezuela Mi opinión sobre los cambios en Twitter https://t.co/d3x5sbvkXo
RT @RalitoDigital: MENSAJE PARA LOS INCAUTOS.",0.0,0.0
6,"Ricardo Rosselló renunció en Puerto Rico, por una MINI PROTESTA, no crean que lo mismo va a s…",-0.6000000238418579,0.6000000238418579
7,RT @Lin_Manuel: yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeees.,0.0,0.0
8,Gracias a la gente de 🇵🇷.,0.699999988079071,0.699999988079071
9,Historia.,0.4000000059604645,0.4000000059604645
10,htt…,0.10000000149011612,0.10000000149011612
11,RT @jonvlysss: ¡no me lo puedo creer!,-0.20000000298023224,0.20000000298023224
12,¡puñeta lo logramos!,0.699999988079071,0.699999988079071
13,¡orgullosa de ser puertorriqueña y más aun de la generación del yo no me dejo!#R…,0.0,0.0
14,RT @kennydeluxe: Listen up America!,0.0,0.0
15,"Your colony, Puerto Rico, just ousted its governor in 2 weeks.",0.0,0.0
16,Now it’s your turn!,0.0,0.0
17,#ImpeachNow #RickyRe…,0.10000000149011612,0.10000000149011612
18,"RT @TheDargonHeart: #RickyRenuncio ESTA ES MI GENTE SOY BORICUA PA QUE TU LO SEPAS https://t.co/RYLsI5gSpw
RT @MrCruzPR: PUERTO RICO LO LOGRO!!",0.20000000298023224,0.20000000298023224
19,SIN BALAZOS!,0.0,0.0
20,SIN MUERTES!,0.0,0.0
21,EN DOS SEMANAS!,-0.10000000149011612,0.10000000149011612
22,CÁTEDRA AL MUNDO COMPLETO DE CÓMO UN PUEBLO SE DA A RESP…,0.0,0.0
23,RT @BellSchmid: The time has come for Americans to take to the streets like in #PuertoRico to rid America of this cancer called Trump.,0.0,0.0
24,#Ri…,0.10000000149011612,0.10000000149011612
25,RT @Samynemir: Recognizing and highlighting #RickyRenunció movement that ousted a governor for first time in #PuertoRico history was led by…,0.20000000298023224,0.20000000298023224
26,RT @DanielHabif: PUÑEEEEEETTTAAAAA RENUNCIOOOOOO!!!!,0.0,0.0
27,LATINOAMÉRICA SE RESPETA!!,0.0,0.0
28,"GRACIAS PUERTO RICO POR TAN HERMOSA Y BELLA LECCIÓN, COJONE…",0.8999999761581421,0.8999999761581421
29,RT @AppDemography:,0.0,0.0
30,￣￣￣￣￣￣￣￣￣￣￣￣￣,0.10000000149011612,0.10000000149011612
31,ME TIENE MIEDO SERÁ     ME TIENE MIEDO SERÁ     PORQUE ES UN MAMAO     ES UN MA MA OO…,0.10000000149011612,0.10000000149011612
32,RT @ShawnInArizona: If I told you we could get Trump to resign if millions of us went and protested in DC for a week straight...,-0.30000001192092896,0.30000001192092896
33,Would yo…,0.10000000149011612,0.10000000149011612
34,RT @mr_baez15: Nunca olvidaremos la noche del 24 de julio de 2019.,-0.20000000298023224,0.20000000298023224
35,✊🏼🇵🇷 ¡PUERTO RICO LO LOGRÓ!,0.20000000298023224,0.20000000298023224
36,#AbajoRosselló #RickyRenunció https://t.co/Y…,0.10000000149011612,0.10000000149011612
37,RT @Tommy_Torres: 24 de julio de 2019.,0.0,0.0
38,Nunca olvidemos este día.,0.699999988079071,0.699999988079071
39,La fuerza la tiene el pueblo.,-0.20000000298023224,0.20000000298023224
40,❤️🇵🇷 #rickyrenunció https://t.co/dw06cBZo…,0.5,0.5
41,"Nonono vete con tu paz para las sinsoras del carajo airline en primera clase con Ricky
RT @jaserrano258: My homeland, Puerto Rico, has put democracy on display for 11 days straight.",-0.30000001192092896,0.30000001192092896
42,The people have done it!,0.10000000149011612,0.10000000149011612
43,Governor Ricardo…,0.10000000149011612,0.10000000149011612
44,"I’m not 😭 #SomosMasYNoTenemosMiedo
RT @dahkitchenbandi: Wow almighty God will forever bless you @successclubbet THANK YOU SO MUCH FOR THIS TODAY WINNING......#Mikebbnaija #ju…",0.699999988079071,0.699999988079071
45,RT @JoeM_136: To my Int’l Twitter pals:  You have no idea how huge this is to Puerto Rico.,0.0,0.0
46,For the first time ever the people know the powe…,0.10000000149011612,0.10000000149011612
47,RT @ArmyGZBland: Yeah...,0.0,0.0
48,Ricky is about to leave but we gotta kick Wanda out before she even step in.,0.0,0.0
49,We just got rid of a corrupt governor…,-0.20000000298023224,0.20000000298023224
50,RT @efrain994: Le quitamos la mitad del cuatrienio al que le quitó la mitad del presupuesto a la UPR.,-0.6000000238418579,0.6000000238418579
51,"#RickyRenunció
Vaya que le pusieron huevos, tantos que #RickyRenuncio ahora habrá que esperar a que el tiempo arroje el transfondo…",-0.30000001192092896,0.30000001192092896
52,"https://t.co/64udz8aiOR
RT @NGAR__: Dos maneras de llevar un mensaje similar, Jowell como que saco 0 tho #RickyRenunció https://t.co/5APDP8DcSM
RT @AlanTaveras2: Esto es como si Tito Trinidad le hubiera ganado al diablo.",-0.30000001192092896,0.30000001192092896
53,"#RickyRenuncio https://t.co/sTi8ElOKcB
😂😂😂 Lo que es la desinformación, me dan risa personas como este tipejo que además hacen estos vídeos esperando que… https://t.co/RzutRQjjVi
RT @KathiaMichelle4: 25 julio 2019.",0.0,0.0
54,MOMENTO HISTÓRICO DONDE UN GOBERNADOR CORRUPTO CAE ANTE UN PUEBLO UNIDO.,-0.20000000298023224,0.20000000298023224
